,YEAR,TICKETS SOLD,TOTAL BOX OFFICE,TOTAL INFLATION ADJUSTED BOX OFFICE,AVERAGE TICKET PRICE
0,2021,423774881,3881777912,3881777912,9.16
1,2020,223638958,2048534616,2048534616,9.16
2,2019,1228541629,11253443955,11253444050,9.16
3,2018,1311536128,11948096650,12013670952,9.11
4,2017,1225639761,10993991460,11226860216,8.97
5,2016,1302556378,11267115924,11931416424,8.65
6,2015,1323356776,11155900636,12121948075,8.43
7,2014,1257402920,10272985008,11517810744,8.17
8,2013,1339168926,10887446341,12266787382,8.13
9,2012,1380921942,10992141616,12649244986,7.96
10,2011,1282915168,10173519704,11751502955,7.93
11,2010,1328549021,10482254025,12169509032,7.89
12,2009,1418567388,10639257284,12994051137,7.5
13,2008,1358042073,9750744148,12439665380,7.18
14,2007,1420036680,9769854914,13007535993,6.88
15,2006,1398738283,9161738221,12812442671,6.55
16,2005,1372980280,8800805718,12576499367,6.41
17,2004,1495651298,9287996519,13700165883,6.21
18,2003,1524589620,9193277289,13965240914,6.03
19,2002,1575756527,9155147215,14433929789,5.81
20,2001,1465874205,8296849636,13427407722,5.66
21,2000,1397460079,7532311479,12800734319,5.39
22,1999,1444664086,7338894852,13233123027,5.08
23,1998,1443832471,6771575283,13225505439,4.69
24,1997,1357349648,6230235770,12433322785,4.59
25,1996,1305221290,5769078886,11955781912,4.42
26,1995,1221705907,5314421390,11190826105,4.35
