,url,weekid,artist,song
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,BTS,Butter
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Good 4 U
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Dua Lipa,Levitating
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,The Weeknd & Ariana Grande,Save Your Tears
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Doja Cat Featuring SZA,Kiss Me More
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Deja Vu
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Masked Wolf,Astronaut In The Ocean
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Lil Nas X,Montero (Call Me By Your Name)
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,The Kid LAROI,Without You
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Traitor
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Drivers License
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Polo G,Rapstar
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Luke Combs,Forever After All
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Favorite Crime
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,The Weeknd,Blinding Lights
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Brutal
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Happier
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Lil Tjay Featuring 6LACK,Calling My Phone
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Saweetie Featuring Doja Cat,Best Friend
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Giveon,Heartbreak Anniversary
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Cardi B,Up
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Glass Animals,Heat Waves
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Olivia Rodrigo,Enough For You
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,"J. Cole, 21 Savage & Morray",my.life
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,SpotemGottem Featuring Pooh Shiesty Or DaBaby,Beat Box
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,24kGoldn Featuring iann dior,Mood
0,https://www.billboard.com/charts/hot-100/2021-06-06,2021-06-06,Machine Gun Kelly X blackbear,My Ex's Best Friend
